name,num_game,avg_rating
Anima Locus,1,2.63
Animakemu Games,2,6.81
Animal Mouth,1,8.33
Animar Games,1,3.33
Animate Objects,2,9.29
Animation Arts Creative GmbH,1,5.62
Animation Catalyst,1,6.36
Anime Games,2,3.75
Anime Hearts,1,5
Anime squad,2,7.58
AnimeBomb,1,5
Animootor,1,6.67
Animu Game,2,8.2
Animus Interactive Inc,1,5.81
Animvs Game Studio,1,7.8
Animyst Games,1,8.86
Aniode,1,8.61
Ankama Games,4,7.42
Annapurna Interactive,3,9.12
Anoman Studio,1,10
Anonymous Games,1,7.5
Another Circus,1,9.6
Another Indie,3,8.25
Another Indie;Hound Picked Games,1,9.08
Another Indie;Mayflower Entertainment [KR],1,7.96
Another Noname,1,10
Another Planet,1,8
Another Reality,1,6.67
Another Yeti,1,7.69
Another world,1,10
Anothink,1,2.96
Anshar Studios,2,7.98
Ant Workshop Ltd,1,9.14
Antanas Marcelionis,1,7.86
Antarctic Games,1,10
"Antaria, LLC",1,7.35
Anteater Games;BindleBot,1,7.23
Anthopper Development,1,0
Anthracite Games,1,10
Anti Crunch Studios,1,10
Anti-Ded GameDev,3,8.52
AntiAnti,2,4.17
Anticto,1,7.61
Antiproto,1,3.61
Antiquity Studio,1,6.67
Antispace Studios,1,2.94
Antizero company,4,8.96
Antler Interactive,2,8.65
Anton Riot,1,8.6
Anton Shatalov,2,8.85
Antonio Latronico,1,10
Antonio Renna,5,5.17
Antropi,1,7
Antti Vaihia,1,8.95
Anuman Interactive,1,7.59
Anunnaki s.r.l.,1,8
Anvate Games,4,7.44
Anvil Game Studios,1,8.55
Anvil-Soft,1,6.77
Anxious Neck Games,1,8.18
Aoineko,1,8.67
Apache,1,8.46
Apapappa Games,1,10
Apar Games,1,4
Apathus Software,1,8.33
"ApathyWorks, LLC",1,7.55
Ape Apps,2,6.89
Ape Law,1,7.55
"Apefoot Studios, LLC",1,6
Apeirogon Games,2,7.23
Aperico Software,1,8
Apillo,3,1.94
Aplome Labs,1,6.67
AploveStudio,1,10
Apocoplay LLC,1,4.72
Apogee Software,8,8.59
App Business Ventures LLC,5,5.26
App Holdings,2,7.79
AppChu Indie Games,1,10
AppFactoryHaru-Ni,1,5.56
AppGeneration,1,8.57
AppRoarr Studios,1,8.18
"AppSir, Inc.",1,8.99
Applaud Productions;Onteca Ltd,1,5.76
Applava,2,8.29
Apple Cider,1,10
Apple Dash,1,5
AppleCoffee,1,8.33
Applemint,2,7.5
Applepine Games,1,8.18
Application Systems Heidelberg,5,8.77
Appliks Apps Studios,1,6.97
Applimazing,1,8.93
Appnori Inc.,6,6.05
Appocalypse Games,1,7.5
AppsByBrats,1,8.57
Appsif Apps ltd,1,7.5
Appsolutely Studios,1,3.5
Apus Software,1,6.88
AquaBomber,1,10
Aqualuft Games,1,8.75
Aquiris Game Studio,2,8.63
Ara Interactive,1,6.54
Arachnid Games,1,7.7
Aragronks Games,1,7.5
Arakion LLC,1,8.46
Aratog LLC,1,5.71
Arbatskii Anatolii,2,7.5
Arbisoft,1,5
Arbitrary Metric,1,8.39
Arc System Works,20,7.67
Arc-gen,1,3.53
Arcade Distillery,3,6.94
Arcade Injection,1,8.24
ArcadeSheep,1,7.5
Arcane Architect,1,5.35
Arcani Interactive,1,6.67
Arcanity Inc,1,9.52
"Arcen Games, LLC",11,6.75
"Arch Virtual, LLC",1,6.67
Archetype Global,1,1.36
Archetype Studios,1,5.45
Archiact,1,6.97
Archiact Interactive Ltd.,1,9.26
Archive Entertainment,3,6.36
Arctic Anteater,1,4.11
Arctic Bird Studio,1,6.09
ArcticFox223,1,7.5
Arcupion Art,2,5.67
Arcus Plume,1,10
Ardentsquid,1,8.82
Ardi Studio,3,6.72
Ardoetia Productions,1,8
Area 120,1,8.89
Area64 Productions,1,10
Arevoatl Games,1,8.75
Argent Games,4,9.67
Argeus Games,1,10
Arglefumph,1,10
Argonauts Interactive,1,6.67
Argonauts Studios,1,10
Argus Games,1,6.73
Aric Morrow,1,4
Aries-Lenov,1,7.69
Arif Games,1,9.47
Aristotelis Giannakopoulos,1,5.18
Arjuna Games,1,8
Arkane Studios,1,8.64
Arkenstone Games,1,5
Arkraptor,1,2.5
Armadillo Game Studios,1,10
Armadillo Studios,1,7.9
Armagedoom Games,3,3.33
Armatur Games,1,8.39
Armet Games,1,5.83
Armitage Games,1,7.27
Armnomads,1,7.09
Armogaste,1,10
Armor Games Studios,11,8.66
Armor Games Studios;PestoForce,1,8.73
Armoured Beans,2,8.33
Arnold Rauers,1,8.28
Arrible,3,8.47
Arrogant Pixel,1,9.26
ArrowGroundGames,1,5.9
Arrowiz,1,7.78
Ars Creativa,1,3.89
Art Games,1,8.05
Art Of Adventures,7,4.23
Art-Pulsar,1,4.43
Artalasky,4,7
Artcom FZC,1,5.77
Artefact Assembly,1,10
Artem Bondin,2,3.4
Artem Kotov,3,8.12
ArtemizGame,1,2.65
Artepi Corporation,4,6.74
Artery Games,2,9.18
Artifact 5,1,6.36
Artifex Mundi,57,7.81
Artifice Studio,1,8.76
Artificer Cascadia,1,5
Artificer Creator,1,10
Artificient Games Inc.,1,5
Artii Games LLC,2,10
Artisiti,1,4.58
Artists Entertainment,2,8.5
Artix Entertainment,1,7.9
"Artix Entertainment, LLC",1,7.08
Artless Games,1,10
Artnumeris,1,2.38
Artplant,1,6.86
Artur Berkowski Berobasket,2,9.06
Artur Games,1,8.99
Artur Petrov,1,8.33
Artur Rezende,9,6.69
Artyom Design,1,6.74
Arzola's,2,9.59
Ascendant Studio,1,4.44
Ascendence Studios,1,3.33
Ascension Interactive Media,1,10
Asixa,1,4.34
Ask An Enemy Studios,1,10
Aslan Game Studio,1,8
Asmodee Digital,20,6.59
Asmodee Digital;Days of Wonder,1,5
Asmodee Digital;Horrible Games,1,9.33
Asmodee Digital;Z-Man Games,1,4.37
Asphe Games,1,0
Aspyr,4,7.32
Assemble Entertainment,10,6.96
Asterion Games,1,7.59
Asteristic Game Studio,1,9.12
Asteroid Base,1,9.47
Astra Game Studio,1,4.54
Astral Byte Ltd.,1,6.9
Astralax,1,8.67
AstroBear Games,1,7.14
Astrobot,1,7.5
Astrocat Studios,1,7.5
Astrojone,1,8.5
Astronomic Games,2,10
Astrosimer,1,6.44
Asylum Entertainment Inc.,1,3.92
Asymptotic Games,1,5
Atapki,3,6.29
Atara Games,1,8.21
Atari,8,6.01
Atelier 801,2,7.79
Atelier Melon-Kissa,1,5.38
Aterdux Entertainment,3,6.49
"Atlas ""Incawporated""",1,10
Atom Republic,1,4.02
"Atom Switch, Inc.",1,4.72
AtomTeam,1,8.6
Atomic Drop Games,1,5
Atomic Fabrik;Cristian Manolachi,5,4.08
Atomic Raccoon Studio,1,9.6
Atomic Wolf,1,8.57
AtomicTorch Studio,2,6.15
Ator Neba,1,7.14
Atreyu Games Pty. Ltd.,1,8.33
Atriagames,55,7.17
Attila D.,1,10
Attu Games,1,7.6
Atypical Games,1,7.34
Auburn Sounds,1,9.09
Audacious Games,1,7.5
Augusta Software GmbH,1,8
Auld Games,1,10
Aundre Rogers,2,4.5
Auraro,1,6.92
AurealStudio,1,8.57
Auroch Digital,3,6.62
Aurox Studios,1,9.58
AurumDust;WhisperGames,1,7.97
Austin Boucher,1,10
Autarca,2,7.26
AutoAttack Games,1,7.38
Automata Source;Potassium Frog,1,4.65
Autotelic Games LLC,3,4.56
Autotivity Entertainment,1,7.27
Autumn VR ,1,6
Avanquest Software Publishing Ltd,1,5.26
Avasion,1,7.73
Avekvist,1,0
Avenal Investments Ltd,1,0
Aves Games,1,7.14
Avi Rosenblum,1,10
Avidly Wild Games,1,8.08
Avisgames,1,0
Avocavo,1,9.63
Awaceb,1,6.35
Awakened,1,4
AweSwan,1,3.12
Awesome Enterprises,2,5.22
Awesome Games Studio,4,8.46
Awesome Industries,1,4.71
Awesome Stuff Software,1,7.5
Awestruck Games;EvolVR Games Ltd.,1,6.11
Awfully Nice Studios,1,9.11
Awoker Games,2,7.34
Axel Shokk,1,4.8
Axel Sonic,3,8.48
AxiPLAY,1,9.38
